row_id;account_check_status;duration_in_month;credit_history;purpose;credit_amount;savings;present_emp_since;installment_as_income_perc;personal_status_sex;other_debtors;present_res_since;property;age;other_installment_plans;housing;credits_this_bank;job;people_under_maintenance;telephone;foreign_worker;default;K-mean;Partición;predictive_TAN;$BP-default;predictive_Markow;score_default;predictive_Logistic;$LP-default;default_predictive;insurance_price
714;3;60;0;1;14027;2;3;0,04;1;0;60,83333333;1;27;0;2;1;0;1;1;1;2;2;1_Entrenamiento;0;0,915237894;0;1;0;0,931804609;0,1;3,39
799;3;9;0;1;1549;1;1;0,04;1;0;60,83333333;4;35;0;2;1;1;1;0;1;1;2;2_Comprobación;1;0,845977155;1;1;1;0,731405813;0,1;3,39
888;2;36;1;1;6614;2;3;0,04;1;0;121,6666667;2;34;0;2;2;0;1;1;1;1;3;1_Entrenamiento;1;0,858041114;1;1;1;0,752186405;0,1;3,39
795;2;9;0;0;2301;3;1;0,02;0;0;121,6666667;3;22;0;3;1;0;1;0;1;1;5;2_Comprobación;1;0,734956704;1;1;1;0,74789252;0,1;3,39
982;3;21;0;1;2923;3;2;0,01;0;0;30,41666667;2;28;1;2;1;0;1;1;1;1;5;2_Comprobación;1;0,658924052;1;1;0;0,584389237;0,1;3,39
887;3;48;0;0;15672;2;2;0,02;1;0;60,83333333;2;23;0;2;1;0;1;1;1;2;4;1_Entrenamiento;0;1;0;1;0;0,855955752;0,1;3,39
887;3;48;0;0;15672;2;2;0,02;1;0;60,83333333;2;23;0;2;1;0;1;1;1;2;4;1_Entrenamiento;0;1;0;1;0;0,855955752;0,1;3,39
548;1;12;0;1;626;2;2;0,04;0;0;121,6666667;4;24;1;2;1;1;1;0;1;2;4;1_Entrenamiento;0;0,574716794;0;0,571428571;0;0,792885936;0,057142857;3,261428571
548;1;12;0;1;626;2;2;0,04;0;0;121,6666667;4;24;1;2;1;1;1;0;1;2;4;1_Entrenamiento;0;0,574716794;0;0,571428571;0;0,792885936;0,057142857;3,261428571
10;3;12;0;1;1295;2;1;0,03;0;0;30,41666667;2;25;0;3;1;0;1;0;1;2;5;1_Entrenamiento;0;0,726107265;0;0,551724138;0;0,661452372;0,055172414;3,255517241
10;3;12;0;1;1295;2;1;0,03;0;0;30,41666667;2;25;0;3;1;0;1;0;1;2;5;2_Comprobación;0;0,726107265;0;0,551724138;0;0,661452372;0,055172414;3,255517241
824;2;18;1;0;3780;2;1;0,03;1;0;60,83333333;2;35;0;2;2;0;1;1;1;1;3;1_Entrenamiento;1;0,866805081;1;0,571428571;1;0,824876326;0,057142857;3,261428571
362;3;12;1;1;2247;2;2;0,02;0;0;60,83333333;2;36;1;2;2;0;1;1;1;1;1;1_Entrenamiento;1;0,742971013;1;1;0;0,537804182;0,1;3,39
882;3;30;1;1;2181;1;3;0,04;1;0;121,6666667;4;36;0;2;2;0;1;0;1;1;3;1_Entrenamiento;1;0,761174287;1;1;1;0,81489213;0,1;3,39
941;2;10;0;1;1546;2;2;0,03;1;0;60,83333333;4;31;0;2;1;1;2;0;0;1;2;1_Entrenamiento;1;0,966977817;1;1;1;0,863436679;0,1;3,39
47;1;6;0;1;1352;3;1;0,01;0;0;60,83333333;3;23;0;3;1;1;1;1;1;1;5;2_Comprobación;0;0,552337656;0;0,8;0;0,549248248;0,08;3,33
806;3;6;0;1;590;2;1;0,03;0;0;91,25;4;26;0;2;1;1;1;0;0;1;5;2_Comprobación;1;0,599483964;0;0,551724138;1;0,546869906;0,055172414;3,255517241
24;2;10;1;0;2069;1;2;0,02;0;0;30,41666667;2;26;0;2;2;0;1;0;0;1;1;1_Entrenamiento;1;0,924046896;1;0,777777778;1;0,933514287;0,077777778;3,323333333
371;2;18;1;1;6070;2;3;0,03;1;0;121,6666667;2;33;0;2;2;0;1;1;1;1;3;1_Entrenamiento;1;0,898151165;1;1;1;0,871276353;0,1;3,39
775;1;24;0;1;1371;1;2;0,04;0;0;121,6666667;4;25;0;3;1;0;1;0;1;2;5;1_Entrenamiento;0;0,884995479;0;1;0;0,623868205;0,1;3,39
775;1;24;0;1;1371;1;2;0,04;0;0;121,6666667;4;25;0;3;1;0;1;0;1;2;5;1_Entrenamiento;0;0,884995479;0;1;0;0,623868205;0,1;3,39
240;1;24;0;1;915;1;3;0,04;0;0;60,83333333;2;29;1;2;1;0;1;0;1;2;5;1_Entrenamiento;0;0,800457673;0;0,8;0;0,67489529;0,08;3,33
240;1;24;0;1;915;1;3;0,04;0;0;60,83333333;2;29;1;2;1;0;1;0;1;2;5;1_Entrenamiento;0;0,800457673;0;0,8;0;0,67489529;0,08;3,33
83;1;24;0;1;1755;2;3;0,04;0;2;121,6666667;4;58;0;2;1;1;1;1;1;1;5;2_Comprobación;0;0,73732273;0;0,526315789;0;0,564308412;0,052631579;3,247894737
900;1;16;1;1;2625;2;3;0,02;1;2;121,6666667;3;43;1;3;1;0;1;1;1;2;3;2_Comprobación;1;0,591839847;0;0,571428571;0;0,592924144;0,057142857;3,261428571
900;1;16;1;1;2625;2;3;0,02;1;2;121,6666667;3;43;1;3;1;0;1;1;1;2;3;1_Entrenamiento;1;0,591839847;0;0,571428571;0;0,592924144;0,057142857;3,261428571
258;2;15;0;1;3812;3;1;0,01;0;0;121,6666667;2;23;0;2;1;0;1;1;1;1;5;1_Entrenamiento;1;0,903837014;1;1;1;0,83123311;0,1;3,39
504;1;24;0;1;1207;2;1;0,04;0;0;121,6666667;3;24;0;3;1;0;1;0;1;2;5;2_Comprobación;0;0,898046879;0;0,909090909;0;0,872456618;0,090909091;3,362727273
504;1;24;0;1;1207;2;1;0,04;0;0;121,6666667;3;24;0;3;1;0;1;0;1;2;5;1_Entrenamiento;0;0,898046879;0;0,909090909;0;0,872456618;0,090909091;3,362727273
207;3;12;1;1;1424;2;3;0,04;1;0;91,25;3;26;0;2;1;0;1;0;1;1;3;1_Entrenamiento;1;0,675144675;1;0,739130435;1;0,65985545;0,073913043;3,31173913
999;3;45;1;1;4576;3;1;0,03;1;0;121,6666667;2;27;0;2;1;0;1;0;1;1;3;1_Entrenamiento;0;0,864441683;1;1;0;0,542536081;0,1;3,39
88;1;18;0;1;2249;3;3;0,04;1;0;91,25;2;30;0;2;1;0;2;1;1;1;2;2_Comprobación;1;0,700761703;1;1;1;0,530136321;0,1;3,39
750;1;6;0;0;428;2;3;0,02;0;0;30,41666667;3;49;1;2;1;0;1;1;1;1;5;1_Entrenamiento;1;0,502105226;0;0,571428571;0;0,609462241;0,057142857;3,261428571
197;3;12;0;0;951;3;1;0,04;0;0;121,6666667;2;27;1;3;4;0;1;0;1;2;5;1_Entrenamiento;0;0,884835385;0;0,857142857;0;0,771551772;0,085714286;3,347142857
197;3;12;0;0;951;3;1;0,04;0;0;121,6666667;2;27;1;3;4;0;1;0;1;2;5;2_Comprobación;0;0,884835385;0;0,857142857;0;0,771551772;0,085714286;3,347142857
64;2;24;0;1;3181;2;1;0,04;0;0;121,6666667;3;26;0;2;1;0;1;1;1;1;5;1_Entrenamiento;1;0,553887881;1;0,571428571;0;0,505341441;0,057142857;3,261428571
253;2;24;1;0;4151;3;2;0,02;1;0;91,25;3;35;0;2;2;0;1;0;1;1;3;2_Comprobación;1;0,968407591;1;1;1;0,881385275;0,1;3,39
445;2;9;1;1;1244;1;3;0,04;0;0;121,6666667;3;41;0;3;2;1;1;0;1;1;1;2_Comprobación;1;0,895785795;1;1;1;0,904809158;0,1;3,39
21;1;6;0;1;2647;3;2;0,02;1;0;91,25;4;44;0;3;1;0;2;0;1;1;2;1_Entrenamiento;1;0,762698151;1;1;1;0,653620793;0,1;3,39
680;2;6;0;1;1538;2;1;0,01;0;0;60,83333333;1;56;0;2;1;0;1;0;1;1;5;1_Entrenamiento;1;0,900240432;1;0,833333333;1;0,790901445;0,083333333;3,34
147;2;12;1;1;682;3;3;0,04;0;0;91,25;2;51;0;2;2;0;1;1;1;1;1;2_Comprobación;1;0,942319923;1;0,866666667;1;0,922626855;0,086666667;3,35
110;3;6;1;0;1449;3;3;0,01;1;0;60,83333333;2;31;1;2;2;0;2;0;1;1;3;1_Entrenamiento;1;0,827849008;1;1;1;0,827266218;0,1;3,39
934;1;12;0;1;1498;2;2;0,04;0;0;30,41666667;2;23;1;2;1;0;1;0;1;1;5;1_Entrenamiento;0;0,727059729;0;0,571428571;0;0,849412412;0,057142857;3,261428571
845;3;21;0;0;3976;1;3;0,02;1;0;91,25;2;35;0;2;1;0;1;1;1;1;2;1_Entrenamiento;1;0,835236919;1;1;1;0,783789038;0,1;3,39
554;3;9;0;1;1199;2;3;0,04;0;0;121,6666667;3;67;0;2;2;0;1;1;1;1;5;2_Comprobación;1;0,598823616;1;0,739130435;1;0,558633625;0,073913043;3,31173913
992;1;18;0;1;1936;1;3;0,02;0;0;121,6666667;2;23;0;3;2;1;1;0;1;1;5;1_Entrenamiento;0;0,796725359;1;0,666666667;1;0,567852239;0,066666667;3,29
308;3;8;0;0;1237;2;2;0,03;0;0;121,6666667;4;24;0;2;1;0;1;0;1;2;5;1_Entrenamiento;1;0,686432589;1;0,612903226;1;0,549454766;0,061290323;3,273870968
308;3;8;0;0;1237;2;2;0,03;0;0;121,6666667;4;24;0;2;1;0;1;0;1;2;5;1_Entrenamiento;1;0,686432589;1;0,612903226;1;0,549454766;0,061290323;3,273870968
764;2;24;1;1;2463;3;3;0,04;0;0;91,25;3;27;0;2;2;0;1;1;1;1;1;2_Comprobación;1;0,921255013;1;1;1;0,829441944;0,1;3,39
150;2;6;0;1;1346;3;3;0,02;1;0;121,6666667;1;42;1;1;1;0;2;1;1;1;2;2_Comprobación;1;0,624877971;1;1;1;0,851928456;0,1;3,39
647;2;12;0;1;1386;3;2;0,02;0;0;60,83333333;3;26;0;2;1;0;1;0;1;2;5;1_Entrenamiento;1;0,820889752;1;0,8;1;0,829289361;0,08;3,33
647;2;12;0;1;1386;3;2;0,02;0;0;60,83333333;3;26;0;2;1;0;1;0;1;2;5;2_Comprobación;1;0,820889752;1;0,8;1;0,829289361;0,08;3,33
321;1;24;0;1;1938;2;1;0,04;1;0;91,25;3;32;0;2;1;0;1;0;1;2;4;1_Entrenamiento;0;0,773464175;0;0,909090909;0;0,769490654;0,090909091;3,362727273
321;1;24;0;1;1938;2;1;0,04;1;0;91,25;3;32;0;2;1;0;1;0;1;2;4;1_Entrenamiento;0;0,773464175;0;0,909090909;0;0,769490654;0,090909091;3,362727273
431;3;24;0;1;11328;2;2;0,02;1;1;91,25;2;29;1;2;2;0;1;1;1;2;4;1_Entrenamiento;0;1;0;1;0;0,810965316;0,1;3,39
431;3;24;0;1;11328;2;2;0,02;1;1;91,25;2;29;1;2;2;0;1;1;1;2;4;1_Entrenamiento;0;1;0;1;0;0,810965316;0,1;3,39
233;3;18;0;1;866;2;2;0,04;0;2;60,83333333;4;25;0;2;1;1;1;0;1;1;5;1_Entrenamiento;0;0,785623034;0;0,545454545;0;0,576162121;0,054545455;3,253636364
605;1;24;0;0;2828;3;2;0,04;1;0;121,6666667;4;22;1;2;1;0;1;1;1;1;2;2_Comprobación;0;0,58085993;1;1;0;0,742065102;0,1;3,39
35;3;45;1;1;4746;2;1;0,04;1;0;60,83333333;3;25;0;2;2;1;1;0;1;2;3;1_Entrenamiento;0;0,975152546;0;1;0;0,751739813;0,1;3,39
35;3;45;1;1;4746;2;1;0,04;1;0;60,83333333;3;25;0;2;2;1;1;0;1;2;3;1_Entrenamiento;0;0,975152546;0;1;0;0,751739813;0,1;3,39
578;3;36;1;1;2820;2;1;0,04;1;0;121,6666667;2;27;0;2;2;0;1;0;1;2;3;1_Entrenamiento;0;0,67202143;0;1;0;0,618497256;0,1;3,39
578;3;36;1;1;2820;2;1;0,04;1;0;121,6666667;2;27;0;2;2;0;1;0;1;2;3;1_Entrenamiento;0;0,67202143;0;1;0;0,618497256;0,1;3,39
511;2;36;0;1;4686;2;2;0,02;1;0;60,83333333;1;32;0;1;1;0;1;1;1;1;2;1_Entrenamiento;1;0,807851718;0;0,5;1;0,607473545;0,05;3,24
562;3;6;1;1;683;2;1;0,02;0;0;30,41666667;3;29;1;2;1;0;1;0;1;1;1;2_Comprobación;0;0,558630745;1;0,714285714;0;0,562984134;0,071428571;3,304285714
324;2;18;1;1;1028;2;2;0,04;0;0;91,25;4;36;0;2;2;0;1;0;1;1;1;2_Comprobación;1;0,779761932;1;0,777777778;1;0,828914368;0,077777778;3,323333333
60;3;9;0;0;1391;2;2;0,02;0;0;30,41666667;4;27;1;2;1;0;1;1;1;1;5;2_Comprobación;1;0,670494456;1;1;0;0,573552307;0,1;3,39
834;3;15;0;1;2327;2;1;0,02;0;0;91,25;4;25;0;2;1;1;1;0;1;2;5;2_Comprobación;1;0,638165208;0;0,551724138;1;0,514628381;0,055172414;3,255517241
834;3;15;0;1;2327;2;1;0,02;0;0;91,25;4;25;0;2;1;1;1;0;1;2;5;2_Comprobación;1;0,638165208;0;0,551724138;1;0,514628381;0,055172414;3,255517241
553;3;12;1;1;1995;3;1;0,04;1;0;30,41666667;2;27;0;2;1;0;1;0;1;1;3;1_Entrenamiento;0;0,563829438;1;1;1;0,66292269;0,1;3,39
486;2;12;0;1;3077;2;2;0,02;1;0;121,6666667;2;52;0;2;1;0;1;1;1;1;2;1_Entrenamiento;1;0,948211395;1;1;1;0,860833463;0,1;3,39
81;2;15;0;1;1213;3;3;0,04;1;0;91,25;3;47;1;2;1;0;1;1;1;1;2;1_Entrenamiento;1;0,593099578;1;1;1;0,773336346;0,1;3,39
587;1;12;0;0;1289;2;2;0,04;1;2;30,41666667;3;21;0;2;1;1;1;0;1;1;2;2_Comprobación;0;0,674361473;1;0,625;0;0,686814936;0,0625;3,2775
523;2;24;0;1;3488;3;3;0,03;0;0;121,6666667;2;23;0;2;1;0;1;0;1;1;5;1_Entrenamiento;1;0,936415111;1;1;1;0,803160179;0,1;3,39
210;2;9;1;1;3074;1;2;0,01;1;0;60,83333333;4;33;0;2;2;0;2;0;1;1;3;1_Entrenamiento;1;0,991223839;1;0,777777778;1;0,973675569;0,077777778;3,323333333
58;3;18;0;1;1961;2;3;0,03;0;0;60,83333333;2;23;0;2;1;0;1;0;1;1;5;1_Entrenamiento;0;0,548388558;1;0,571428571;0;0,502695283;0,057142857;3,261428571
759;1;12;1;1;691;2;3;0,04;1;0;91,25;3;35;0;2;2;0;1;0;1;2;3;2_Comprobación;1;0,655956273;1;0,538461538;1;0,587584226;0,053846154;3,251538462
759;1;12;1;1;691;2;3;0,04;1;0;91,25;3;35;0;2;2;0;1;0;1;2;3;1_Entrenamiento;1;0,655956273;1;0,538461538;1;0,587584226;0,053846154;3,251538462
336;3;13;0;1;2101;2;1;0,02;0;2;121,6666667;3;23;0;2;1;1;1;0;1;1;5;1_Entrenamiento;0;0,62470144;0;0,551724138;0;0,595242612;0,055172414;3,255517241
177;1;6;1;1;338;3;3;0,04;1;0;121,6666667;2;52;0;2;2;0;1;0;1;1;3;1_Entrenamiento;1;0,792302142;0;0,5;1;0,791668287;0,05;3,24
684;3;36;1;0;9857;3;3;0,01;1;0;91,25;3;31;0;2;2;1;2;1;1;1;3;1_Entrenamiento;1;0,549217198;0;0,666666667;1;0,642964936;0,066666667;3,29
922;1;9;0;1;1366;2;1;0,03;0;0;121,6666667;3;22;0;3;1;0;1;0;1;2;5;1_Entrenamiento;0;0,789480719;0;0,5;0;0,781100619;0,05;3,24
922;1;9;0;1;1366;2;1;0,03;0;0;121,6666667;3;22;0;3;1;0;1;0;1;2;5;2_Comprobación;0;0,789480719;0;0,5;0;0,781100619;0,05;3,24
978;2;24;1;1;2538;2;3;0,04;1;0;121,6666667;2;47;0;2;2;1;2;0;1;2;3;1_Entrenamiento;1;0,895081281;1;0,8;1;0,870614745;0,08;3,33
978;2;24;1;1;2538;2;3;0,04;1;0;121,6666667;2;47;0;2;2;1;2;0;1;2;3;2_Comprobación;1;0,895081281;1;0,8;1;0,870614745;0,08;3,33
943;2;4;1;1;1455;2;3;0,02;1;0;30,41666667;4;42;0;2;3;1;2;0;1;1;3;1_Entrenamiento;1;0,981129085;1;1;1;0,966096872;0,1;3,39
45;2;11;1;1;1393;2;1;0,04;0;0;121,6666667;2;35;0;2;2;0;1;0;1;1;1;1_Entrenamiento;1;0,882936916;1;0,833333333;1;0,783438656;0,083333333;3,34
590;1;12;1;1;385;2;3;0,04;0;0;91,25;4;58;0;2;4;1;1;1;1;1;1;2_Comprobación;1;0,832498083;1;0,538461538;1;0,669632053;0,053846154;3,251538462
268;1;14;0;1;8978;2;3;0,01;1;0;121,6666667;3;45;0;2;1;0;1;1;0;2;2;1_Entrenamiento;0;1;0;1;0;0,504304869;0,1;3,39
268;1;14;0;1;8978;2;3;0,01;1;0;121,6666667;3;45;0;2;1;0;1;1;0;2;2;2_Comprobación;0;1;0;1;0;0,504304869;0,1;3,39
639;1;42;1;1;4370;2;3;0,03;1;0;60,83333333;3;26;1;2;2;0;2;1;1;2;3;1_Entrenamiento;0;0,509907335;0;1;0;0,793149293;0,1;3,39
639;1;42;1;1;4370;2;3;0,03;1;0;60,83333333;3;26;1;2;2;0;2;1;1;2;3;1_Entrenamiento;0;0,509907335;0;1;0;0,793149293;0,1;3,39
71;2;7;1;1;730;1;3;0,04;1;0;60,83333333;3;46;0;3;2;1;1;1;1;1;3;1_Entrenamiento;1;0,903726871;1;1;1;0,941685962;0,1;3,39
588;1;18;0;1;1217;2;2;0,04;0;0;91,25;4;47;0;2;1;1;1;1;1;2;4;1_Entrenamiento;0;0,712955415;0;0,777777778;0;0,643068516;0,077777778;3,323333333
588;1;18;0;1;1217;2;2;0,04;0;0;91,25;4;47;0;2;1;1;1;1;1;2;4;1_Entrenamiento;0;0,712955415;0;0,777777778;0;0,643068516;0,077777778;3,323333333
93;3;24;1;0;3617;1;3;0,04;1;1;121,6666667;1;20;0;3;2;0;1;0;1;1;3;1_Entrenamiento;1;0,713113733;1;1;1;0,544078787;0,1;3,39
400;2;18;0;1;1473;2;1;0,03;0;0;121,6666667;4;39;0;2;1;0;1;1;1;1;5;1_Entrenamiento;1;0,690517146;1;0,571428571;1;0,765281286;0,057142857;3,261428571
458;1;6;0;1;343;2;1;0,04;0;0;30,41666667;4;27;0;2;1;0;1;0;1;1;5;1_Entrenamiento;0;0,590394563;0;0,5;0;0,624773586;0,05;3,24
42;3;18;1;1;6204;2;2;0,02;1;0;121,6666667;4;44;0;2;1;1;2;1;1;1;3;1_Entrenamiento;1;0,655451076;0;0,8;1;0,703636433;0,08;3,33
865;2;15;0;0;2221;3;2;0,02;0;0;121,6666667;2;20;0;3;1;0;1;0;1;1;5;2_Comprobación;1;0,772252164;1;0,8;1;0,776783772;0,08;3,33
14;1;15;0;1;1403;2;2;0,02;0;0;121,6666667;2;28;0;3;1;0;1;0;1;1;5;1_Entrenamiento;0;0,722430612;1;0,625;0;0,684577901;0,0625;3,2775
41;3;12;0;1;1158;3;2;0,03;1;0;30,41666667;2;26;0;2;1;0;1;1;1;1;2;1_Entrenamiento;0;0,536087173;1;0,538461538;1;0,652671653;0,053846154;3,251538462
640;1;18;0;1;750;2;1;0,04;0;0;30,41666667;4;27;0;2;1;1;1;0;1;2;5;2_Comprobación;0;0,900678011;0;0,909090909;0;0,705137695;0,090909091;3,362727273
640;1;18;0;1;750;2;1;0,04;0;0;30,41666667;4;27;0;2;1;1;1;0;1;2;5;1_Entrenamiento;0;0,900678011;0;0,909090909;0;0,705137695;0,090909091;3,362727273
213;3;30;1;0;1908;2;3;0,04;1;0;121,6666667;4;66;0;2;1;0;1;1;1;2;3;1_Entrenamiento;0;0,675134957;1;0,571428571;1;0,730828024;0,057142857;3,261428571
213;3;30;1;0;1908;2;3;0,04;1;0;121,6666667;4;66;0;2;1;0;1;1;1;2;3;2_Comprobación;0;0,675134957;1;0,571428571;1;0,730828024;0,057142857;3,261428571
341;1;21;0;0;3599;2;3;0,01;0;0;121,6666667;2;26;0;3;1;1;1;0;1;1;5;1_Entrenamiento;0;0,635411803;0;0,526315789;0;0,606548367;0,052631579;3,247894737
309;3;9;0;1;276;2;2;0,04;0;0;121,6666667;4;22;0;3;1;1;1;0;1;1;5;2_Comprobación;1;0,607022656;1;0,612903226;0;0,588972621;0,061290323;3,273870968
483;2;15;1;0;960;3;3;0,03;0;0;60,83333333;3;30;0;2;2;0;1;0;1;1;1;1_Entrenamiento;1;0,889077173;1;0,866666667;1;0,905277842;0,086666667;3,35
103;3;9;1;0;1919;2;3;0,04;1;0;91,25;2;35;0;3;1;0;1;1;1;1;3;1_Entrenamiento;1;0,572985488;1;0,739130435;1;0,659270663;0,073913043;3,31173913
414;1;24;0;1;1381;1;2;0,04;0;0;60,83333333;3;35;0;2;1;0;1;0;1;2;5;1_Entrenamiento;0;0,77989438;0;1;0;0,644145045;0,1;3,39
414;1;24;0;1;1381;1;2;0,04;0;0;60,83333333;3;35;0;2;1;0;1;0;1;2;5;1_Entrenamiento;0;0,77989438;0;1;0;0,644145045;0,1;3,39
33;2;12;1;0;1264;1;3;0,04;1;0;121,6666667;1;57;0;3;1;1;1;0;1;1;3;2_Comprobación;1;0,826411508;1;1;1;0,910789848;0,1;3,39
300;2;6;0;1;672;2;1;0,01;0;0;121,6666667;4;54;0;2;1;1;1;1;1;1;5;1_Entrenamiento;1;0,983695047;1;0,833333333;1;0,905818596;0,083333333;3,34
971;2;24;0;1;7393;2;2;0,01;1;0;121,6666667;3;43;0;2;1;1;2;0;1;1;2;2_Comprobación;1;0,876120291;1;1;1;0,754051363;0,1;3,39
593;3;24;0;1;2718;2;2;0,03;0;0;121,6666667;3;20;0;3;1;1;1;1;1;2;5;1_Entrenamiento;0;0,736259851;0;0,545454545;0;0,772426412;0,054545455;3,253636364
593;3;24;0;1;2718;2;2;0,03;0;0;121,6666667;3;20;0;3;1;1;1;1;1;2;5;2_Comprobación;0;0,736259851;0;0,545454545;0;0,772426412;0,054545455;3,253636364
811;3;6;0;1;484;2;3;0,03;0;2;91,25;4;28;1;2;1;1;1;0;1;1;5;2_Comprobación;1;0,724896508;0;0,666666667;1;0,509192945;0,066666667;3,29
353;1;12;0;1;6199;2;2;0,04;1;0;60,83333333;3;28;0;3;2;0;1;1;1;2;4;2_Comprobación;0;0,880565396;0;0,666666667;0;0,811869699;0,066666667;3,29
353;1;12;0;1;6199;2;2;0,04;1;0;60,83333333;3;28;0;3;2;0;1;1;1;2;4;1_Entrenamiento;0;0,880565396;0;0,666666667;0;0,811869699;0,066666667;3,29
791;2;24;0;1;6313;1;3;0,03;1;0;121,6666667;2;41;0;2;1;0;2;1;1;1;2;1_Entrenamiento;1;0,915235725;1;1;1;0,887371324;0,1;3,39
972;1;24;0;1;1193;2;1;0,01;0;1;121,6666667;1;29;0;3;2;1;1;0;1;2;5;2_Comprobación;0;0,711186718;0;0,909090909;0;0,807188099;0,090909091;3,362727273
972;1;24;0;1;1193;2;1;0,01;0;1;121,6666667;1;29;0;3;2;1;1;0;1;2;5;2_Comprobación;0;0,711186718;0;0,909090909;0;0,807188099;0,090909091;3,362727273
395;3;39;1;1;11760;3;3;0,02;1;0;91,25;1;32;0;3;1;0;1;1;1;1;3;1_Entrenamiento;0;0,557876985;1;1;0;0,650207899;0,1;3,39
307;1;12;0;1;727;3;1;0,04;0;0;91,25;1;33;0;2;1;1;1;1;1;2;5;1_Entrenamiento;0;0,821063701;0;0,8;0;0,749135866;0,08;3,33
307;1;12;0;1;727;3;1;0,04;0;0;91,25;1;33;0;2;1;1;1;1;1;2;5;1_Entrenamiento;0;0,821063701;0;0,8;0;0,749135866;0,08;3,33
651;3;12;0;0;1922;2;2;0,04;1;0;60,83333333;3;37;0;2;1;1;1;0;1;2;2;1_Entrenamiento;1;0,577625884;1;0,612903226;0;0,559120304;0,061290323;3,273870968
651;3;12;0;0;1922;2;2;0,04;1;0;60,83333333;3;37;0;2;1;1;1;0;1;2;2;2_Comprobación;1;0,577625884;1;0,612903226;0;0,559120304;0,061290323;3,273870968
143;1;18;0;0;2462;2;2;0,02;1;0;60,83333333;2;22;0;2;1;0;1;0;1;2;4;1_Entrenamiento;0;0,65567542;0;0,777777778;0;0,57356419;0,077777778;3,323333333
143;1;18;0;0;2462;2;2;0,02;1;0;60,83333333;2;22;0;2;1;0;1;0;1;2;4;1_Entrenamiento;0;0,65567542;0;0,777777778;0;0,57356419;0,077777778;3,323333333
935;3;30;1;1;1919;3;1;0,04;1;0;91,25;1;30;1;2;2;0;1;0;1;2;3;2_Comprobación;0;0,702342683;0;0,666666667;0;0,752120753;0,066666667;3,29
935;3;30;1;1;1919;3;1;0,04;1;0;91,25;1;30;1;2;2;0;1;0;1;2;3;1_Entrenamiento;0;0,702342683;0;0,666666667;0;0,752120753;0,066666667;3,29
405;3;24;0;1;2039;2;1;0,01;0;0;30,41666667;3;22;0;2;1;0;1;1;1;2;5;2_Comprobación;0;0,603565732;0;0,666666667;0;0,602437475;0,066666667;3,29
405;3;24;0;1;2039;2;1;0,01;0;0;30,41666667;3;22;0;2;1;0;1;1;1;2;5;1_Entrenamiento;0;0,603565732;0;0,666666667;0;0,602437475;0,066666667;3,29
937;3;6;0;1;2063;2;1;0,04;0;0;91,25;2;30;0;3;1;0;1;1;1;1;5;1_Entrenamiento;0;0,77171348;0;0,551724138;0;0,689918172;0,055172414;3,255517241
