row_id;duration_in_month;purpose;present_emp_since;installment_as_income_perc;personal_status_sex;property;age;housing;credits_this_bank;job;people_under_maintenance;norm_age;migration_risk;real_state;score_default_dummy;score_default_logistic;$LP-score_default_dummy;score_default_TAN;$BP-score_default_dummy;score_default_markow;$BP1-score_default_dummy;punishment_value;client_price
204;12;1;3;0,04;1;4;38;2;2;1;2;3,63758616;0,032876712;1;0;0;0,830603167;0;0,859935206;0;0,822033898;0,083060317;91961,67781
205;30;1;3;0,03;1;1;38;1;3;0;2;3,63758616;0,016438356;0;1;1;0,852655234;1;0,839681863;1;0,666666667;0,085265523;92143,87324
221;12;1;2;0,04;0;3;23;3;1;0;1;3,135494216;0,016438356;1;1;0;0,873717569;0;0,8931267;0;0,822033898;0,087371757;92317,89146
228;9;1;3;0,04;1;2;22;2;1;0;1;3,091042453;0,016438356;0;0;0;0,828737615;0;0,693719013;0;0,822033898;0,082873761;91946,26451
232;12;1;3;0,03;1;1;35;2;1;0;1;3,555348061;0,032876712;0;0;0;0,527361468;0;0,66232599;0;0,8;0,052736147;89456,27761
234;4;1;3;0,02;1;4;42;2;3;1;2;3,737669618;0,032876712;1;0;0;0,781565744;0;0,675372955;0;0,610169492;0,078156574;91556,52783
235;24;1;1;0,04;1;2;30;2;1;0;2;3,401197382;0,016438356;0;1;1;0,507551957;1;0,518425324;0;0,64028777;0,050755196;89292,6103
246;12;1;3;0,04;1;4;52;2;3;0;1;3,951243719;0,008219178;1;0;0;0,845804083;0;0,887007604;0;0,822033898;0,084580408;92087,26865
250;6;1;3;0,03;0;4;39;2;2;1;1;3,663561646;0,016438356;1;0;0;0,899370999;0;0,870252112;0;0,8;0,0899371;92529,84156
256;24;1;2;0,04;1;4;35;2;2;1;1;3,555348061;0,016438356;1;0;0;0,590864283;0;0,685715745;0;0,64028777;0,059086428;89980,94148
277;12;0;3;0,02;1;3;49;2;1;1;1;3,891820298;0,016438356;1;1;0;0,56567784;1;0,674044939;0;0,610169492;0,056567784;89772,84966
280;15;1;3;0,03;1;1;23;3;2;0;1;3,135494216;0,016438356;0;0;1;0,537097493;0;0,589355628;0;0,8;0,053709749;89536,7172
281;12;0;2;0,04;1;4;50;2;1;0;1;3,912023005;0,016438356;1;0;0;0,841639983;0;0,787310891;0;0,822033898;0,084163998;92052,86461
301;36;1;2;0,04;0;2;42;2;1;0;1;3,737669618;0,065753425;0;0;1;0,735899699;1;0,815421686;1;0,805555556;0,07358997;91179,23236
317;24;0;2;0,01;0;3;48;2;1;1;1;3,871201011;0,016438356;1;1;1;0,755262651;1;0,591726374;1;0,636363636;0,075526265;91339,21018
318;12;1;2;0,04;1;2;32;2;2;0;1;3,465735903;0,016438356;0;0;0;0,778220009;0;0,693719013;0;0,822033898;0,077822001;91528,88518
335;6;0;2;0,01;1;4;44;3;1;0;1;3,784189634;0,016438356;1;1;0;0,635311936;1;0,555124231;1;0,5;0,063531194;90348,17053
337;15;1;2;0,04;0;2;24;3;1;0;1;3,17805383;0,016438356;0;1;0;0,804461141;0;0,734069175;0;0,822033898;0,080446114;91745,69091
350;9;1;1;0,01;0;4;23;3;1;0;1;3,135494216;0,016438356;1;0;0;0,671320569;0;0,555892733;1;0,5;0,067132057;90645,67591
354;10;1;3;0,04;1;1;46;1;1;0;1;3,828641396;0,016438356;0;0;0;0,72572381;0;0,623679725;0;0,822033898;0,072572381;91095,15859
361;12;1;3;0,02;1;2;37;2;1;0;1;3,610917913;0,010958904;0;1;0;0,526041952;0;0,619432832;0;0,610169492;0,052604195;89445,37569
368;36;0;3;0,04;1;2;42;2;1;0;2;3,737669618;0,016438356;0;1;1;0,788472693;1;0,856702749;1;0,805555556;0,078847269;91613,59343
377;7;1;3;0,03;1;1;36;1;1;0;1;3,583518938;0,008219178;0;0;0;0,676983096;0;0,75269609;0;0,8;0,06769831;90692,46003
381;18;1;1;0,03;0;1;38;1;1;0;1;3,63758616;0,016438356;0;1;0;0,502606716;1;0,855563825;1;0,666666667;0,050260672;89251,75244
389;9;0;3;0,03;0;2;27;2;2;0;1;3,295836866;0,016438356;0;0;0;0,813227894;0;0,705052079;0;0,8;0,081322789;91818,12232
411;33;1;3;0,03;1;2;35;2;2;0;1;3,555348061;0,032876712;0;1;1;0,838021929;1;1;1;1;0,083802193;92022,97204
416;12;1;1;0,04;1;4;33;2;1;1;2;3,496507561;0,032876712;1;1;0;0,830603167;0;0,859935206;0;0,822033898;0,083060317;91961,67781
429;18;1;1;0,02;0;1;55;1;3;1;2;4,007333185;0,008219178;0;0;1;0,636789609;1;0,8523267;1;0,714285714;0,063678961;90360,37914
430;5;0;3;0,01;1;4;74;2;1;1;1;4,304065093;0,008219178;1;1;0;0,662929298;0;0,632404132;1;0,5;0,06629293;90576,34675
446;36;1;1;0,04;0;2;34;2;1;0;1;3,526360525;0,016438356;0;1;1;0,697468123;1;0,830667713;1;0,805555556;0,069746812;90861,70849
455;24;1;1;0,04;0;1;29;2;1;0;1;3,36729583;0,065753425;0;0;1;0,558672551;1;0,599750856;0;0,64028777;0,055867255;89714,97156
465;24;1;2;0,03;1;1;63;2;1;0;2;4,143134726;0,016438356;0;1;1;0,75265323;1;0,839681863;1;0,666666667;0,075265323;91317,65098
481;24;1;1;0,04;1;3;26;2;1;0;1;3,258096538;0,032876712;1;0;0;0,526241941;0;0,594822615;0;0,64028777;0,052624194;89447,02801
492;6;1;2;0,01;0;3;27;2;2;0;1;3,295836866;0,032876712;1;0;0;0,680411555;0;0,712031403;1;0,5;0,068041155;90720,78615
503;24;1;1;0,04;1;1;38;2;2;0;2;3,63758616;0,008219178;0;0;1;0,621324242;0;0,590404789;0;0,64028777;0,062132424;90232,6034
518;6;1;3;0,03;1;3;43;2;1;0;1;3,761200116;0,032876712;1;0;0;0,809583556;0;0,742892408;0;0,8;0,080958356;91788,01259
537;18;0;3;0,03;0;3;37;2;1;0;1;3,610917913;0,016438356;1;0;0;0,66938645;0;0,508077149;1;0,666666667;0,066938645;90629,6961
538;48;1;3;0,04;1;1;42;1;1;0;1;3,737669618;0,008219178;0;1;1;0,955478491;1;1;1;1;0,095547849;92993,40486
575;15;0;3;0,02;0;2;24;2;2;0;1;3,17805383;0,010958904;0;1;0;0,565460177;0;0,664841381;0;0,610169492;0,056546018;89771,05131
576;12;1;3;0,02;0;4;27;2;1;0;1;3,295836866;0,032876712;1;0;0;0,714159772;0;0,728081109;0;0,610169492;0,071415977;90999,61584
582;9;0;2;0,04;0;4;26;3;1;0;1;3,258096538;0,016438356;1;0;0;0,922179731;0;0,852544348;0;0,822033898;0,092217973;92718,2886
583;36;1;1;0,04;1;1;33;3;1;1;1;3,496507561;0,032876712;0;0;1;0,869081511;1;0,891815349;1;0,805555556;0,086908151;92279,58808
585;18;0;2;0,01;0;4;20;3;1;0;1;2,995732274;0,008219178;1;1;1;0,554384949;0;0,633949379;1;0,636363636;0,055438495;89679,54715
595;6;1;1;0,01;0;3;32;2;1;1;1;3,465735903;0,032876712;1;0;0;0,676614249;0;0,566975178;1;0,5;0,067661425;90689,41259
608;18;1;1;0,04;1;4;33;2;1;0;1;3,496507561;0,032876712;1;0;0;0,724031795;0;0,690007398;0;0,64028777;0,072403179;91081,17906
625;15;1;3;0,04;1;2;35;2;1;0;1;3,555348061;0,016438356;0;1;0;0,717873948;0;0,693719013;0;0,822033898;0,071787395;91030,30258
644;18;1;3;0,04;0;3;32;2;2;0;1;3,465735903;0,065753425;1;1;0;0,750629936;0;0,803261878;0;0,64028777;0,075062994;91300,93442
645;36;0;1;0,04;1;2;27;3;2;0;1;3,295836866;0,016438356;0;1;1;0,788472693;1;0,856702749;1;0,805555556;0,078847269;91613,59343
656;12;1;3;0,04;1;2;41;2;1;1;2;3,713572067;0,008219178;0;0;0;0,780656718;0;0,919072842;0;0,822033898;0,078065672;91549,0174
658;30;0;2;0,02;0;2;28;2;2;0;1;3,33220451;0,032876712;0;1;1;0,806555884;1;0,742013677;1;0,714285714;0,080655588;91762,99779
679;18;1;1;0,03;0;4;26;2;1;0;1;3,258096538;0,032876712;1;0;0;0,702444376;1;0,505924867;1;0,666666667;0,070244438;90902,82257
690;15;0;2;0,02;1;3;25;2;2;0;1;3,218875825;0,010958904;1;0;1;0,504670338;0;0,636950696;0;0,610169492;0,050467034;89268,8022
704;27;0;1;0,04;0;3;32;2;1;0;2;3,465735903;0,065753425;1;0;0;0,534401715;0;0,803261878;0;0,64028777;0,053440172;89514,44453
730;24;1;1;0,01;1;2;33;2;1;0;1;3,496507561;0,016438356;0;1;1;0,856729094;1;0,77029255;1;0,636363636;0,085672909;92177,53171
736;24;1;2;0,01;0;2;23;3;2;0;1;3,135494216;0,008219178;0;1;1;0,78182416;1;0,564739411;1;0,636363636;0,078182416;91558,66287
746;15;1;1;0,01;0;2;23;3;1;0;1;3,135494216;0,008219178;0;1;1;0,577416883;0;0,558954457;1;0,5;0,057741688;89869,8383
751;18;1;1;0,01;0;2;23;2;1;1;1;3,135494216;0,016438356;0;0;1;0,664308161;0;0,532089781;1;0,636363636;0,066430816;90587,73899
762;12;1;2;0,04;1;3;24;2;1;1;1;3,17805383;0,010958904;1;1;0;0,811136124;0;0,695758702;0;0,822033898;0,081113612;91800,83999
765;12;1;3;0,03;0;4;40;2;2;1;1;3,688879454;0,010958904;1;0;0;0,827575849;0;0,914881094;0;0,8;0,082757585;91936,66594
772;21;1;3;0,01;1;2;36;2;1;0;1;3,583518938;0,016438356;0;1;1;0,812601138;1;0,77029255;1;0,636363636;0,081260114;91812,94402
780;39;1;3;0,02;1;4;25;2;2;0;1;3,218875825;0,016438356;1;1;1;0,916375171;1;0,910707229;1;0,875;0,091637517;92670,331
807;12;1;3;0,04;1;4;65;2;4;0;1;4,17438727;0,008219178;1;0;0;0,845804083;0;0,887007604;0;0,822033898;0,084580408;92087,26865
820;12;1;2;0,03;0;4;27;2;2;0;1;3,295836866;0,032876712;1;0;0;0,817832628;0;0,872492433;0;0,8;0,081783263;91856,16689
836;12;1;2;0,04;0;2;21;2;1;0;1;3,044522438;0,016438356;0;0;0;0,85015241;0;0,734069175;0;0,822033898;0,085015241;92123,19477
853;18;1;3;0,04;1;1;32;1;2;1;2;3,465735903;0,008219178;0;1;0;0,532500526;1;0,534197355;0;0,64028777;0,053250053;89498,7368
873;15;1;1;0,04;0;4;24;2;1;0;1;3,17805383;0,032876712;1;0;0;0,85401022;0;0,887661361;0;0,822033898;0,085401022;92155,06821
875;11;1;2;0,04;0;2;40;2;2;0;1;3,688879454;0,008219178;0;0;0;0,866978934;0;0,854097703;0;0,822033898;0,086697893;92262,21647
883;18;1;1;0,04;0;2;65;2;2;1;1;4,17438727;0,008219178;0;0;0;0,75160753;0;0,850219056;0;0,64028777;0,075160753;91309,01135
890;27;0;3;0,04;1;2;43;2;4;0;2;3,761200116;0,016438356;0;1;1;0,587003948;1;0,518425324;0;0,64028777;0,058700395;89949,04718
895;36;1;3;0,03;1;2;31;2;1;0;2;3,433987204;0,032876712;0;1;1;0,877069458;1;1;1;1;0,087706946;92345,58495
896;21;1;1;0,04;0;3;28;3;1;0;1;3,33220451;0,016438356;1;1;0;0,72513666;0;0,786183482;0;0,64028777;0,072513666;91090,30752
909;9;1;2;0,01;0;4;33;2;1;1;1;3,496507561;0,016438356;1;1;0;0,667468036;0;0,626421509;1;0,5;0,066746804;90613,84606
931;9;1;1;0,04;0;2;22;2;1;0;1;3,091042453;0,032876712;0;0;0;0,880167301;0;0,790466846;0;0,822033898;0,08801673;92371,17951
933;12;1;3;0,04;1;3;42;2;2;0;2;3,737669618;0,016438356;1;0;0;0,81057685;0;0,709421498;0;0,822033898;0,081057685;91796,21924
945;48;1;1;0,01;0;2;30;2;2;0;1;3,401197382;0,032876712;0;1;1;0,980962863;1;1;1;1;0,098096286;93203,95819
949;24;1;3;0,02;1;2;31;2;2;0;1;3,433987204;0,008219178;0;0;1;0,763279454;1;0,693152135;1;0,714285714;0,076327945;91405,44545
973;60;0;3;0,04;1;1;36;3;1;0;1;3,583518938;0,008219178;0;1;1;0,98727994;1;1;1;1;0,098727994;93256,15024
976;6;1;2;0,02;0;4;64;2;1;0;1;4,158883083;0,010958904;1;0;0;0,837896605;0;0,806007772;0;0,610169492;0,083789661;92021,93661
994;12;1;3;0,04;1;2;50;2;1;0;1;3,912023005;0,021917808;0;1;0;0,774564779;0;0,693719013;0;0,822033898;0,077456478;91498,68546
995;12;0;3;0,03;0;4;31;2;1;1;1;3,433987204;0,008219178;1;0;0;0,829072882;0;0,914881094;0;0,8;0,082907288;91949,03451
